,url,section,title,year,type,author
2711,https://mindmodeling.org/cogsci2013/papers/0424/index.html,Posters,"Frequent Frames, Flexible Frames and the Noun-Verb Asymmetry.",2013,poster,"Pine, Julian"
2711,https://mindmodeling.org/cogsci2013/papers/0424/index.html,Posters,"Frequent Frames, Flexible Frames and the Noun-Verb Asymmetry.",2013,poster,"Jones, Gary"
2711,https://mindmodeling.org/cogsci2013/papers/0424/index.html,Posters,"Frequent Frames, Flexible Frames and the Noun-Verb Asymmetry.",2013,poster,"Gobet, Fernand"
2712,https://mindmodeling.org/cogsci2013/papers/0425/index.html,Posters,Emotional Speech Processing and Language Knowledge,2013,poster,"Frye, Conor"
2712,https://mindmodeling.org/cogsci2013/papers/0425/index.html,Posters,Emotional Speech Processing and Language Knowledge,2013,poster,"Creel, Sarah"
2713,https://mindmodeling.org/cogsci2013/papers/0426/index.html,Posters,Cooperation Decreases with Development of Number Sense,2013,poster,"Furlong, Ellen"
2713,https://mindmodeling.org/cogsci2013/papers/0426/index.html,Posters,Cooperation Decreases with Development of Number Sense,2013,poster,"Opfer, John"
2714,https://mindmodeling.org/cogsci2013/papers/0427/index.html,Posters,A Computational Model of Two Cognitive Transitions Underlying Cultural Evolution,2013,poster,"Gabora, Liane"
2714,https://mindmodeling.org/cogsci2013/papers/0427/index.html,Posters,A Computational Model of Two Cognitive Transitions Underlying Cultural Evolution,2013,poster,"Chia, Wei Wen"
2714,https://mindmodeling.org/cogsci2013/papers/0427/index.html,Posters,A Computational Model of Two Cognitive Transitions Underlying Cultural Evolution,2013,poster,"Firouzi, Hadi"
2715,https://mindmodeling.org/cogsci2013/papers/0428/index.html,Posters,Completion in the Wild:  Perception of 3D forms from cross-sections,2013,poster,"Gagnier, Kristin"
2715,https://mindmodeling.org/cogsci2013/papers/0428/index.html,Posters,Completion in the Wild:  Perception of 3D forms from cross-sections,2013,poster,"Shipley, Thomas"
2716,https://mindmodeling.org/cogsci2013/papers/0429/index.html,Posters,Computational exploration of task and attention modulation on holistic processing  and left side bias effects in face recognition: the case of face drawing experts.,2013,poster,"Galmar, Bruno"
